function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_hcreate	c:@F@p101_hcreate	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	hcreate	c:@F@hcreate
p101_hdestroy	c:@F@p101_hdestroy	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	hdestroy	c:@F@hdestroy
p101_hsearch	c:@F@p101_hsearch	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	hsearch	c:@F@hsearch
p101_insque	c:@F@p101_insque	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	insque	c:@F@insque
p101_lfind	c:@F@p101_lfind	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	lfind	c:@F@lfind
p101_lsearch	c:@F@p101_lsearch	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	lsearch	c:@F@lsearch
p101_remque	c:@F@p101_remque	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	remque	c:@F@remque
p101_tdelete	c:@F@p101_tdelete	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	tdelete	c:@F@tdelete
p101_tfind	c:@F@p101_tfind	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	tfind	c:@F@tfind
p101_tsearch	c:@F@p101_tsearch	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	tsearch	c:@F@tsearch
p101_twalk	c:@F@p101_twalk	XSI	libraries/lib_search/src/search.c	libraries/lib_search/include/p101_search/p101_search.h	libraries/lib_posix_xsi/src/search.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_search.h	yes	yes	yes	twalk	c:@F@twalk
